assetId,dtId
TCCC,tccc
LIR,lir
LIR/UT,lir-ut
LIR/UT/CELL1,lir-ut-cell1
LIR/UT/CIP1,lir-ut-cip1
LIR/UT/CIP2,lir-ut-cip2
LIR/UT/CIP1/LIN1,lir-ut-cip1-lin1
LIR/UT/CIP1/LIN2,lir-ut-cip1-lin2
LIR/UT/CIP1/LIN3,lir-ut-cip1-lin3
LIR/UT/CIP2/LIN1,lir-ut-cip2-lin1
LIR/UT/CIP2/LIN2,lir-ut-cip2-lin2
LIR/UT/CIP2/LIN3,lir-ut-cip2-lin3
LIR/UT/CIP2/LIN4,lir-ut-cip2-lin4
LIR/UT/CIP2/LIN5,lir-ut-cip2-lin5
